id,created_at,text
877974755592228868,2017-06-22 19:41:08,Health care has always been about something bigger than politics: it's about the character of our country. https://t.co/UqLO14Hef7
876456804305252353,2017-06-18 15:09:20,"Of all that I've done in my life, I'm most proud to be Sasha and Malia's dad. To all those lucky enough to be a dad… https://t.co/XSqMhcSuvR"
870695481290117120,2017-06-02 17:35:54,"On this National Gun Violence Awareness Day, let your voice be heard and show your commitment to reducing gun viole… https://t.co/S7dth6Ywb0"
869178832082874369,2017-05-29 13:09:16,Forever grateful for the service and sacrifice of all who fought to protect our freedoms and defend this country we… https://t.co/BwRS0onlOL
868455601663332353,2017-05-27 13:15:25,Good to see my friend Prince Harry in London to discuss the work of our foundations &amp; offer condolences to victims… https://t.co/f1U8It8AmE
867745464329883648,2017-05-25 14:13:35,"Through faith, love, and resolve the character of the people of Manchester has shown itself.  Our thoughts &amp; prayer… https://t.co/xyMer891Zo"
867061620027076608,2017-05-23 16:56:14,Our hearts go out to those killed and wounded in Manchester. Americans will always stand shoulder to shoulder with the people of the UK.
866764702600359937,2017-05-22 21:16:23,"Excited to hear from Sierra, Imani, Filiz, and Benedikt who are making a difference at home and abroad. See you in… https://t.co/bF1kB1GvxC"
863756100948156416,2017-05-14 14:01:16,"Happy Mother's Day to my love and partner on this journey @MichelleObama, and to all the wonderful, hardworking mothers out there."
859855649689174019,2017-05-03 19:42:16,"We're rolling up our sleeves again, back where it all started. Join us at https://t.co/GYkEOK8EuT. https://t.co/UlyvNrQvZR"
859457313232605184,2017-05-02 17:19:26,"Well said, Jimmy. That's exactly why we fought so hard for the ACA, and why we need to protect it for kids like Bil… https://t.co/jB3LXT94Ok"
856595671796895745,2017-04-24 19:48:17,RT @ObamaFoundation: It’s a beautiful day on the South Side. https://t.co/PtoaFbww0s
844896595179180034,2017-03-23 13:00:20,My heart goes out to the victims and their families in London. No act of terror can shake the strength and resilience of our British ally.
843490091519623169,2017-03-19 15:51:23,"Chuck Berry rolled over everyone who came before him – and turned up everyone who came after.  We'll miss you, Chuck.  Be good."
839585255703080968,2017-03-08 21:14:58,"On International Women’s Day, @MichelleObama and I are inspired by all of you who embrace your power to drive chang… https://t.co/Er9mIQlmgr"
837376982354694144,2017-03-02 19:00:04,RT @ObamaFoundation: Courage comes in many forms. Who in your local community or neighborhood leads by example? #ProfileInCourage https://t…
837322131834875904,2017-03-02 15:22:07,Humbled to be recognized by a family with a legacy of service. Who's your #ProfileInCourage? Tell me about them:… https://t.co/25Ohhab8Xn
832675462325243906,2017-02-17 19:37:55,We asked. You answered. https://t.co/mAJvko6VqR
831527113211645959,2017-02-14 15:34:47,"Happy Valentine’s Day, @michelleobama! Almost 28 years with you, but it always feels new. https://t.co/O0UhJWoqGN"
823230505546117120,2017-01-22 18:07:02,I read letters like these every single day. It was one of the best parts of the job – hearing from you. https://t.co/so1luBcszV
822553543479541761,2017-01-20 21:17:01,RT @ObamaFoundation: Add your voice: https://t.co/mA9MSHmi7o https://t.co/Uf7oEvkZF3
822550536469803009,2017-01-20 21:05:04,"In the meantime, I want to hear what you're thinking about the road ahead. So share your ideas with me here: https://t.co/GYkEOK8EuT"
822550300942856193,2017-01-20 21:04:08,"Hi everybody! Back to the original handle. Is this thing still on? Michelle and I are off on a quick vacation, then we’ll get back to work."
818966711995088896,2017-01-10 23:44:14,"Tonight, President Obama reflects on eight years of progress. Watch the #FarewellAddress at 9 pm ET: https://t.co/ZnwTsg155B #ObamaFarewell"
794940142867902465,2016-11-05 16:31:13,"RT @OFA: ""Thanks to the Affordable Care Act, your coverage is better today than it was before.""

Watch the weekly address: https://t.co/Pfk…"
794926969829920768,2016-11-05 15:38:53,"In the weekly address, President Obama discusses what #Obamacare has done to improve health care. https://t.co/VdQlyrSZhx"
794664579834015745,2016-11-04 22:16:14,"Let's keep working to keep our economy on a better, stronger course. https://t.co/bV2BVjyj7a"
794606453197774849,2016-11-04 18:25:16,The landmark #ParisAgreement enters into force today—we must keep up the momentum to #ActOnClimate. https://t.co/Cyw5Udaoro
794572967258640384,2016-11-04 16:12:12,"The economy added 161,000 jobs in October, and wages are up 2.8 percent over the past year. https://t.co/pJxjgLnjCt #JobsReport"
794283659079520256,2016-11-03 21:02:36,There are a lot of plans out there. Check your options and lock in the one that's best for you: https://t.co/buFY9ozDz4 #GetCovered
794255026570993664,2016-11-03 19:08:49,"The positive impact of #Obamacare is undeniable, but there's one big factor holding many states back: https://t.co/7XebIdRX34"
