id,created_at,text
880509679591456768,2017-06-29 19:34:01,Planning on firing up the grill for the 4th of July? @nytimes taste-tested 10 hot dogs to help you find the best… https://t.co/YpFcBKPxon
880492816853602304,2017-06-29 18:27:00,The days of old style office desks are nearly over. @business explores how data &amp; technology are shaping your desk https://t.co/YxeMCuHapq
880478724319309824,2017-06-29 17:31:01,Parts of President Trump's travel ban will go into effect tonight. @CNN reports what to expect https://t.co/TEYMP9JyFn
880156348553592832,2017-06-28 20:10:00,A police helicopter attacked the Venezuelan Supreme Court yesterday. @CNN details the attack &amp; response https://t.co/aPyctZk4JU
880143266703867904,2017-06-28 19:18:01,The second cyberattack in 2 months around the world raises concern for possible future assaults. @nytimes reports… https://t.co/0fa05QV56V
879851851721707520,2017-06-28 00:00:02,Native American author Sherman Alexie thinks America is becoming a giant reservation. Story via @BuzzFeedNews… https://t.co/pcSfCLiQD8
879836748469153793,2017-06-27 23:00:02,Former tennis star John McEnroe refused to apologize for his comments about Serena Williams. @CBSNews https://t.co/8j2wgHD6mf
879821660865667072,2017-06-27 22:00:04,The future of Medicaid — and health care for 69 million Americans — is in doubt. Here's what to know via @NPR… https://t.co/c6XdTUhwWD
879807303867916288,2017-06-27 21:03:01,"Go ahead, take a nap at work. Your productivity will thank you. @nytimes explains https://t.co/hYypnGyhkh https://t.co/SjoUtzyu6c"
879793468763189249,2017-06-27 20:08:03,A new island appeared off the coast of North Carolina seemingly overnight. @CNNTravel explains the sudden appearanc… https://t.co/slDB3a6suT
879777607016783872,2017-06-27 19:05:01,"As the Senate health care bill nears vote, mother's photo of her child's hospital bill goes viral, via… https://t.co/GOSqsar6vE"
879761495294435329,2017-06-27 18:01:00,"Russell Westbrook named #NBAMVP. He became first player to average a triple-double for season since 1962, via @SInow https://t.co/BlR9dQQMGE"
879447932222754816,2017-06-26 21:15:01,Hikers take note. The tick threat is serious this year. @Slate has some tips to help you protect the family https://t.co/XH9yktysbd
879438124933406720,2017-06-26 20:36:02,Harry Potter made its debut in the UK 20 years ago today. @washingtonpost celebrates #HarryPotter20… https://t.co/HSGDBQ4jtS
879414461618171905,2017-06-26 19:02:01,The Senate health care bill faces a big week as lawmakers' support is uncertain. Here's what to expect via @nytimes… https://t.co/ariCgL39gZ
879397601254223872,2017-06-26 17:55:01,New stars made a splash &amp; @maryjblige brought down the house at the #BETAwards. @TIME details the memorable moments https://t.co/UfKGQaqC4q
878764695917928449,2017-06-25 00:00:04,"George Clooney’s billion dollar booze, Mario Batali returns to his roots, and more in @Eater's Week in Food… https://t.co/3Nvr0ZxhRy"
878749585933570048,2017-06-24 23:00:02,Plastic water bottles are bad for the environment — and they’ve been that way for thousands of years. Via @WIRED… https://t.co/iMiAa4oRtQ
878719388475682816,2017-06-24 21:00:02,Stephen Colbert told a Russian TV show he’s considering a run for President. Is this classic Colbert? @THR reports… https://t.co/yxOV0OUuoI
878689211032973312,2017-06-24 19:00:07,"It’s getting so hot that meteorologists are running out of colors to describe the heat, via @qz… https://t.co/lwvrNPVfWE"
878674092949475328,2017-06-24 18:00:03,What are the most important inventions from every state? @MarketWatch locates innovation nationwide… https://t.co/JudQhrAc58
878643927468957697,2017-06-24 16:00:11,"Now in Weekend Reads: The biggest art heist in history, the most powerful woman in sports, and more… https://t.co/2ws8UnEooc"
878633817522753536,2017-06-24 15:20:00,Otto Warmbier visited North Korea with a tour group. Were the guides to blame for his death? @politico reports… https://t.co/BEoXBQTQMH
878462692146774018,2017-06-24 04:00:01,"Is Zika still a thing? Yes, and here's what you need to know about the tropical virus via @TIME https://t.co/jTuY0YZaws"
878447593512202240,2017-06-24 03:00:01,A coal tycoon has taken issue with satirist John Oliver and is suing him and HBO. Via @HuffPost https://t.co/aOm1qdZOv5
878432499499716612,2017-06-24 02:00:03,"While most Americans have quit, the poor continue to smoke cigarettes. @washingtonpost reports… https://t.co/XFyxiQpChS"
878420412711014401,2017-06-24 01:12:01,Former news anchor Dan Rather says he knows what the country needs: more empathy. Via @BuzzFeedNews… https://t.co/vL6MvkGQ4u
878372153669943296,2017-06-23 22:00:15,"So much content, so little time. Thankfully @voxdotcom has 9 pieces of can’t-miss pop culture to consume now… https://t.co/bCyJ04jm6N"
878357006515437570,2017-06-23 21:00:04,"Is the U.S. slowly entering the Syrian civil war? Recent events suggest increased involvement, via @nytimes… https://t.co/e2mgRNTsD9"
878341905150611456,2017-06-23 20:00:03,"Good news for grizzly bears: The Yellowstone grizzly will be taken off the endangered species list, @NPR reports… https://t.co/pLR4kO5v6T"
878326813365161987,2017-06-23 19:00:05,"Called the ""crime of the century,"" @washingtonpost reports that Putin gave orders to hack the U.S. presidential rac… https://t.co/v5j6fHaYKS"
878312704762671104,2017-06-23 18:04:01,What does it take for a physically abusive cop to lose his badge? A lot. @HuffPost  investigates… https://t.co/MqL2lp6Wzh
878085222507495425,2017-06-23 03:00:05,What happened to Black Lives Matter? The group has fallen silent amidst an outpouring of activism. Via… https://t.co/0BuJiVhc4o
878070117992628224,2017-06-23 02:00:04,"Is Uber the same without its founder? Over 1,000 employees have asked for Travis Kalanick to return, via @axios… https://t.co/KLCs4q6hqL"
877737919317917696,2017-06-22 04:00:02,For years Travis Kalanick was the face of Uber. Now he’s no longer CEO – what happened? @washingtonpost takes a loo… https://t.co/xMK7oOEx8L
877722826182193152,2017-06-22 03:00:03,"As superhero movies grow, Marvel Comics is expanding its cinematic universe to stay on top. Story via @CNET… https://t.co/81YIx39Gjt"
877709226302373888,2017-06-22 02:06:01,"Rough life: George Clooney’s billion dollar tequila company was started by accident, @CNBC reports… https://t.co/QsqvAtkQ7Z"
877647330698084352,2017-06-21 22:00:04,What's the first thing Twitter CEO @jack does in the morning? Not open Twitter. More via @Recode… https://t.co/38ndFAVFrg
