id,created_at,text
880401086221299713,2017-06-29 12:22:30,"A new teen craze has, quite literally, jumped onto the scene in Scandinavia. It’s called hobbyhorsing.… https://t.co/WSmjLwbmyx"
880397189838774273,2017-06-29 12:07:01,"Schiff: If Trump doesn't act on threat Russia poses, he could be derelict in his duty to protect the United States… https://t.co/vYngXaHpOI"
880394168455114752,2017-06-29 11:55:01,A complete R2-D2 unit from 'Star Wars' fetched $2.75 million at a California auction https://t.co/AP89jtziEh https://t.co/bX6Xg9RQSp
880392657796825088,2017-06-29 11:49:01,The British government has ruled that Fox should not be allowed to purchase pay-TV group Sky without further review… https://t.co/daJlaatoDv
880390895778099200,2017-06-29 11:42:01,"With an eye on China, Trump weighs stepping up pressure on North Korea https://t.co/UFZUrzFqzD https://t.co/HOLHdAF4pV"
880388379476623361,2017-06-29 11:32:01,"Rep. Pete King on health care bill: ""It's wrong to pass something for the sake of passing it""… https://t.co/HJDv9sGjQQ"
880386621824274436,2017-06-29 11:25:02,"5 things for Thursday:

- Catholic Church
- Travel ban
- Health care
- France
- Venezuela

https://t.co/O6gRQ89lRx https://t.co/khxxptYxac"
880384606456995840,2017-06-29 11:17:01,"States that saw large coverage gains under Obamacare would suffer most under the Senate bill, according to a report… https://t.co/ost62jzwnb"
880382846132793344,2017-06-29 11:10:01,Barack Obama appears to be upping his jeans game https://t.co/u64TSwjatX https://t.co/DXGp3YXYSV
880382765040054272,2017-06-29 11:09:42,"RT @NewDay: .@JohnAvlon: Calling critics ""fake news"" is ""consciously Orwellian,"" an attempt to ""muddy the meaning of language"" https://t.co…"
880381204205383680,2017-06-29 11:03:30,"A man in Florida was bullied, beaten and called a kidnapper after helping a lost child https://t.co/B1au0yrkuL https://t.co/Y8GgvjFwl5"
880378822100742144,2017-06-29 10:54:02,Uber is being sued over lack of wheelchair-accessible cars in Washington D.C. https://t.co/uxm8L6xg5Q https://t.co/Pu69LjCtQV
880377059775741953,2017-06-29 10:47:02,"Adults in the US tend to view black girls as ""less innocent"" and more grown up than white girls, new report says… https://t.co/Mxh5iup5sm"
880375294875586560,2017-06-29 10:40:01,Outgoing GOP congressman Jason Chaffetz to join Fox News https://t.co/8dnKGZ9H9k https://t.co/FFTSglxWmg
880373532986941440,2017-06-29 10:33:01,Former NATO ambassador says both Trump and Obama should have done more to combat Russia hacking… https://t.co/tlSRSE32Z8
