id,created_at,text
880759127022108673,2017-06-30 12:05:14,Whatever heart or church is inhabited by the Most High will stand. He is in her midst and she shall not be moved. (Psalm 46:4-5)
880619683958972416,2017-06-30 02:51:08,Correct 2 Kings 19:5 to 19:35
880582156887748608,2017-06-30 00:22:01,"Celebrate your absolute allegiance to Jesus Christ, willingly, eagerly, joyfully — no regrets, no restraints. https://t.co/2UyowQOjKS"
880577901162356736,2017-06-30 00:05:06,“Epaphras made known to us your love in the Spirit.“ Colossians 1:8. Your love in the Spirit. This is not pietist jargon. This is reality.
880561991118495744,2017-06-29 23:01:53,"10 years ago today the iPhone launched. I know my phone has changed me, but for better or worse?… https://t.co/pexa6WARGs"
880508808182845440,2017-06-29 19:30:33,How do we see the glory of God through Scripture. We can't savor or share what we don't see.  https://t.co/kgGH4GvvCk
880472235395477504,2017-06-29 17:05:13,“God has delivered us from the domain of darkness and transferred us to the kingdom of his beloved Son.” Colossians 1:13. This is done.
880456273732546561,2017-06-29 16:01:48,"""Grace to you and peace."" What does that really mean? There are amazing treasures in every word. Look at the Book. https://t.co/IpKNFRSeiX"
880448094625824769,2017-06-29 15:29:18,"If I had small children, I would play this beautiful catechetical song with them often. Especially near funerals. https://t.co/RbJzENxxdX"
880396748748976128,2017-06-29 12:05:16,"“We heard of the love you have for all the saints, because of the hope laid up for you in heaven.“ Colossians 1:4. Love because of hope."
880215523069448192,2017-06-29 00:05:08,"“My help comes from the Lord, who made heaven and earth.” Psalm 121:2 From where?!!!! Believe this, say, at 3 o’clock tomorrow afternoon."
880109878295105538,2017-06-28 17:05:21,“Out of the abundance of the heart the mouth speaks.” Luke6:45 How futile then to guard the mouth and leave the heart unchanged.
880034352817635328,2017-06-28 12:05:14,"“Jesus said, ‘Young man I say to you, arise.’ And the dead man sat up and began to speak.“ Luke 7:14 This is our God, our glory, our friend."
879857382821683201,2017-06-28 00:22:01,"We first identify with the King of the universe, not any country, nationality, or political party. https://t.co/HIDqssm1uA"
879853128253878272,2017-06-28 00:05:07,"Apart from Christ we deserve hell. God would be innocent. ""You, O Lord, are justified in your words, blameless in your judgment."" Psalm 51:4"
879747512063725569,2017-06-27 17:05:26,Every heaven-bound breath that a believer takes was bought by the blood of Christ.
879702194420895744,2017-06-27 14:05:21,"Parents of young adults who are dating, you won't be embarrassed to give this book. It's serious and biblical. https://t.co/gTqYx7tEi5"
879695451443929088,2017-06-27 13:38:34,"Stephen Witmer on the history and hubris of dating Jesus’ second coming. Trust the promise, not the timing. https://t.co/qTmx3QpB2B"
879671958396432385,2017-06-27 12:05:13,"If 185,000 demons rise against your family, wave the crimson flag of Christ. Trust his triumph. They will fall. 2 Kings 19:5; Rev. 12:11"
879516427157471232,2017-06-27 01:47:11,What is Christian meditation? Two-minute video with David Mathis. https://t.co/qcIgzJAjup
879490747245920256,2017-06-27 00:05:08,"Sennacherib on a leash. “Because you have raged against, I will put my hook in your nose.” 2 Kings 19:28 So shall Satan fall."
879474737340178437,2017-06-26 23:01:31,"""A love that never ends is a love that suffers long."" Jon Bloom calling us to bear the fruit of ""long-suffering."" https://t.co/GOVkK8J5i8"
879385109480308736,2017-06-26 17:05:22,“. . . that all the kingdoms of the earth may know that you are God alone.” 2 Kings 119:19 The final ground of all our prayers for help.
879309562419052545,2017-06-26 12:05:11,"“I have gone astray like a lost sheep; seek your servant for I do not forget your commandments.” Psalm 119:176. Last verse. Seek me, O Lord!"
879172467796955137,2017-06-26 03:00:25,After 500 years still leaping for joy at the rediscoveries of the Reformation. https://t.co/PxNg6nvwdO
879168607779000320,2017-06-26 02:45:04,I predict (and pray!) that this will become the go-to book on dating for Christians for a long time to come. https://t.co/pfB4KJ3TBM
879132605408583680,2017-06-26 00:22:01,Every millisecond of my life is sustained by God. All my giving is first a receiving. https://t.co/Ywsy9c6MXA
879128346965274626,2017-06-26 00:05:05,"“Be merciful, even as your Father is merciful.” Luke 6:36 When I think of God’s longsuffering with me, my impatiece with others is damnable."
879067959708332033,2017-06-25 20:05:08,“Pray for the peace of Jerusalem!” Psalm 122:6. “Jews Don’t Need Jesus and Other Misconceptions” by Avi Snyder. https://t.co/91wgWePyQt
879044113991180288,2017-06-25 18:30:23,"“God is kind to the ungrateful.” Luke 6:35 Millions of them. Thousands of ways. Every day.   But let one affliction come, and he is guilty."
878947172833689600,2017-06-25 12:05:10,"On any given Sunday, God may take the message we felt worst about, and make it the means of a miracle."
878765962144735232,2017-06-25 00:05:06,"Must I be carried to the skies
On flow’ry beds of ease,
While others fought to win the prize,
And sailed through bloody seas? -- Isaac Watts"
878660291810258946,2017-06-24 17:05:12,"Everything that is not God serves a purpose higher than itself. Nothing is to be justified as ""an end in itself"" or "" for its own sake."""
878584787639959552,2017-06-24 12:05:11,“Great peace have those who love your law; nothing can make them stumble.” Psalm 119:165
878443603651112962,2017-06-24 02:44:10,Learn from Paul how to be brought low. How not to murmur at the unplanned detours.   https://t.co/BK94JEsSl4
