id,created_at,text
875025577568342016,2017-06-14 16:22:09,Bumped into @elloelle and a 😘midway through Starlight! https://t.co/9d4UFDVOS6
873333743573979136,2017-06-10 00:19:24,Thanks for the birthday wishes x
871393970273779712,2017-06-04 15:51:26,"Agreed, amazing work from the emergency services. https://t.co/AMFfH14k51"
871393126761594880,2017-06-04 15:48:05,Terrible news from London.  So sad.
871100170351411200,2017-06-03 20:23:59,"Flying over Grand Canyon en route to Nashville, with one of those spinny things https://t.co/if9bD7DytI"
867962238358798338,2017-05-26 04:34:58,"I think 16 of me and 8 of chris, thereabouts https://t.co/azB1JpyoAU"
867961081355841537,2017-05-26 04:30:22,Suede https://t.co/nUNiLkxcUy
867960858881556480,2017-05-26 04:29:29,Is reality? https://t.co/UvJb1UDzTa
867960242151112704,2017-05-26 04:27:02,With https://t.co/WpxccmGX4I
867959953302016001,2017-05-26 04:25:53,Played ping pong big day out 2004.  He's surprisingly good https://t.co/Z4kO2UyJ5r
867959446659518464,2017-05-26 04:23:52,because molecules in the air scatter blue light from the sun more than they scatter red light https://t.co/2GF3VW5F2C
867959043956002817,2017-05-26 04:22:16,1:1 https://t.co/AjYy2oJ4x8
867958900900769792,2017-05-26 04:21:42,"Backstage party, origin tour somewhere https://t.co/jxcCoGA7xv"
867957236282171394,2017-05-26 04:15:05,"I did beat box (ish) on TIRO intro, more like a swallowing percussive sound https://t.co/HKF4hd4fSA"
867956745611599874,2017-05-26 04:13:08,Weird...  I wrote it earlier https://t.co/10QAu2DfjP
867956502954364928,2017-05-26 04:12:10,It is isn't it? https://t.co/d7d67Ojs2E
867956339384897536,2017-05-26 04:11:31,"My memory appears to have completely erased this, so this image is as strange and unexplainable to me as it is to y… https://t.co/KoicRUDdjy"
867451523189493761,2017-05-24 18:45:34,Great playing! https://t.co/JxDPzgsopn
867451051988762629,2017-05-24 18:43:41,Deeply disturbed https://t.co/HyunTXELYU
867450760698617857,2017-05-24 18:42:32,"Me, nice username https://t.co/7x1tqdKOj9"
867450664795873280,2017-05-24 18:42:09,My most reliable muse;  anxiety about the future of the world https://t.co/FZ0CA61ZgM
867450243469590528,2017-05-24 18:40:29,That's pretty amazing https://t.co/W4ErIAew6o
867449665632968704,2017-05-24 18:38:11,Always lurking in the shadows... https://t.co/lnQnP9A1xN
867048915161423872,2017-05-23 16:05:45,Heartbreaking and tragic news.  Our deepest condolences to the victims and their families. #manchester
866767587023220736,2017-05-22 21:27:51,Good point will look into that https://t.co/gDISiBGxI0
866766912478466048,2017-05-22 21:25:10,I think someone scratched me https://t.co/3DcTd2nxnz
866766702549372928,2017-05-22 21:24:20,Yes https://t.co/Cr9Vc9D6BM
866765914003427329,2017-05-22 21:21:12,They've been with me to two burning mans https://t.co/erdWg8vZt1
866765727973376003,2017-05-22 21:20:27,"Not sure yet, later in the year https://t.co/MngddlSmNf"
866765035758129152,2017-05-22 21:17:42,Yeah.  First two albums plus early demos and rare stuff etc.  A kind of autobiography of music. https://t.co/gFat2ZtKvJ
866764220804861954,2017-05-22 21:14:28,I prefer the term 'terrible early demos' not songs haha.  A few https://t.co/FNfiI8txaf
866763708311248897,2017-05-22 21:12:26,Not sure yet.  Was wondering if we should do it by request? https://t.co/YVdBrVIapv
866763453549223936,2017-05-22 21:11:25,I can put my feet up and have a cup of tea https://t.co/l07egQ6tDb
866763273793929217,2017-05-22 21:10:42,"Cool, glad could get that pick to you x https://t.co/WxEQCZv7QP"
866762683688906755,2017-05-22 21:08:22,Tom finally worked out how to use it haha https://t.co/MTWxZS7cko
866762363080511489,2017-05-22 21:07:05,"Oh yes, it's been too long https://t.co/S5FbSxbRt4"
866762024398848002,2017-05-22 21:05:44,Thanks!  We loved both Florida shows.  Great to be back. https://t.co/pB1smaAJ2a
865311110714593280,2017-05-18 21:00:20,It's on the video within the video https://t.co/PwUKdSgPvn
865307609397698561,2017-05-18 20:46:25,Sweet dreams! https://t.co/E5vunpG04S
865306907170537472,2017-05-18 20:43:37,"No physical format.  Broadcast, download and streaming I think https://t.co/wXs1qleQnz"
865303613148712960,2017-05-18 20:30:32,Hardcore muse fans ha. https://t.co/3RE8Vx9wyJ
865302056038477824,2017-05-18 20:24:21,Burning man weirdness https://t.co/dN8MXF10dY
865301494412832769,2017-05-18 20:22:07,Only a 2nd verse https://t.co/OyH3WierF8
865301360870338561,2017-05-18 20:21:35,The Mandibles https://t.co/QcOhxPAHRk
865301279681249281,2017-05-18 20:21:16,Thanks x https://t.co/Zy59O2PCNp
865300855699931137,2017-05-18 20:19:35,Ha. Cool https://t.co/l7fGl0QXTC
865300267268550656,2017-05-18 20:17:14,That it was flat until our minds changes shape?  #biocentrism https://t.co/4kET5mjDJ5
865299926477139968,2017-05-18 20:15:53,"Maybe 7 or 8, spent a fair bit of time on bass synth https://t.co/xZAy6oD1DL"
865298245433655297,2017-05-18 20:09:12,We're trying to understand how it works. Soon https://t.co/WSYMXAclrf
865298031310237696,2017-05-18 20:08:21,"Never met, tragic news, was a great singer https://t.co/FanjYaoEfh"
865297872467701760,2017-05-18 20:07:43,See my insta... https://t.co/S6PKPcSbnc
865297602543276032,2017-05-18 20:06:39,"Think no DVD, but live film yes https://t.co/6ETjGOfy0o"
865297370631856130,2017-05-18 20:05:44,"Yes and yes, of course! https://t.co/hHhs98kjIp"
865253028278001668,2017-05-18 17:09:32,Yes can't wait https://t.co/sfjhLLhWxf
865252812078362624,2017-05-18 17:08:40,Still working on it https://t.co/x9KMZUhg4c
865252627201830912,2017-05-18 17:07:56,Will be diverse! https://t.co/oUYHX26jgB
865252383512834048,2017-05-18 17:06:58,"Yes, wanted to recreate that 'max headroom incident' 80s TV hack https://t.co/NotPl4Z0fT"
865252238956142594,2017-05-18 17:06:24,Will be on next album https://t.co/sUsdxS3hOu
865252159998349313,2017-05-18 17:06:05,"Hmmm ok, maybe I'll try! https://t.co/R84sNE5pSL"
865252034651488256,2017-05-18 17:05:35,Ha may have to do a remix like that https://t.co/gbt1PhWlBL
850199683620257792,2017-04-07 04:12:55,https://t.co/TjlvDixXzJ
840615598950404097,2017-03-11 17:29:11,Best music video ever? https://t.co/EumSmGBPyv
828288235520483329,2017-02-05 17:04:38,Scrap or reform the UK parliamentary whipping system.  It's undemocratic.  #prayfordiane
825544208995938304,2017-01-29 03:20:51,Orwell was out by 100 years.  Here is the world in 2084. https://t.co/dIagQlRyyY
825539136807276544,2017-01-29 03:00:42,That bass line still kills me https://t.co/uBqPRNWeKt
824393496773566464,2017-01-25 23:08:20,The end of US global hegemony begins. Authoritarianism/statism will now rise as democracy declines.  Beware #1984 #unitedstatesofeurasia
824389909867696128,2017-01-25 22:54:05,https://t.co/xywiB1a4oY
798948125352206336,2016-11-16 17:57:31,when this clock hits 23:58 we must take urgent action;  take to the streets and protest 4 global nuclear disarmamen… https://t.co/vg7T1cRvJJ
798944589654544384,2016-11-16 17:43:28,#TheGlobalist https://t.co/YawofTqk6F
798943193639198720,2016-11-16 17:37:55,Because it's changing it's policies. https://t.co/bMWrq20V8A https://t.co/0WmTtoXMjt
798942632814592001,2016-11-16 17:35:41,Grimes! https://t.co/EZ0f3aF7M3
798939882852794368,2016-11-16 17:24:46,"Self control and restraint, Trump's strong suit?  https://t.co/cPoLOLp5Q6"
797500999934103552,2016-11-12 18:07:09,Yeah I think so  https://t.co/0g4FOBsiZR
797499986825150464,2016-11-12 18:03:08,This film predicted it all  https://t.co/s9tAtIl9IU
796355825350623232,2016-11-09 14:16:38,"Ha that was last album!  May have to dust off the old acoustic guitar, been a while  https://t.co/8GcYFcZfnF"
796346333477085185,2016-11-09 13:38:55,"No. Im only Ok with #softbrexit single market &amp; free movement of people YES,free to do trade deals outside of EU YES https://t.co/x7WaKhufvw"
796342038048411649,2016-11-09 13:21:51,"Touring life, Paris(Texas), jet lag, appointing Dom Howard.  No politics  https://t.co/DrqAGCQr3I"
796341061467643904,2016-11-09 13:17:59,Hi stupid/inflammatory views will be heavily moderated when sworn in and the seriousness/gravity (&amp; top secret revelations) of job hit him🙏
796339255593340928,2016-11-09 13:10:48,#apocalypseplease
791531474373738496,2016-10-27 06:46:24,#musehalloweenspecial https://t.co/fkZQvCsOjG
775418641949097984,2016-09-12 19:39:45,Bing catches first waves with big brother. https://t.co/Rnj4UlRSkF
773791659335319552,2016-09-08 07:54:42,"8am at #robotheart post man burn, only the hardcores remain!  #burningman2016 https://t.co/vm1qT9Qpv0"
773409354292797440,2016-09-07 06:35:33,Searching for the 'us' in m--e https://t.co/LdZtDNoCCe
773179465161699333,2016-09-06 15:22:04,Chasing twisters #burningman2016 https://t.co/ZisWg0fC0U
772975461458665472,2016-09-06 01:51:25,Last man standing (sitting) at #onesie party #burningman2016 🦄 https://t.co/lAMzQFLPjg
772825377785995268,2016-09-05 15:55:03,#medusa #burningman2016 https://t.co/XcuZKuP41Q
772666843270094848,2016-09-05 05:25:05,#burningman2016 Birdseye view https://t.co/C5XL8DkyF6
772662594666627072,2016-09-05 05:08:12,Partying with playa princesses @elloelle and @parishilton 🦄 https://t.co/LDWMbUNP8C
769958746692943872,2016-08-28 18:04:05,48 hours until we're back on the #playa https://t.co/cgjCdt4Nmh
769643712074903553,2016-08-27 21:12:14,Getting excited for burning man! https://t.co/rkpsfHjqwy
767791837968994304,2016-08-22 18:33:33,Monster trucking across #Langjokull glacier https://t.co/le9XDfAB52
767700841776156673,2016-08-22 12:31:58,Woke up this morning and found a kaleidoscope of Butterflies (isn't that the best animal group… https://t.co/KzRHiecIt6
