id,created_at,text
878979801243164673,2017-06-25 14:14:49,I send my warmest good wishes to Muslims in the UK and around the world celebrating the festival of Eid al-Fitr. https://t.co/b8eOJ6AGXn
877899066906218496,2017-06-22 14:40:22,It is our job to show we are listening and that we will stand up for the people of Grenfell Tower. My full statement https://t.co/U19do3Ccec
876810120038166528,2017-06-19 14:33:17,"London is diverse, welcoming, vibrant and compassionate. These are the values that define us. These are the values… https://t.co/xbRGoe5q6N"
875425089126268928,2017-06-15 18:49:40,I can confirm that emergency funding has been made available to assist with the response to the Grenfell Tower fire: https://t.co/1UbOuv9ZiI
875370407976677376,2017-06-15 15:12:23,Right now people want answers and that's why I am today ordering a full public inquiry into this disaster. https://t.co/XTsH58zYqx
875040682368536577,2017-06-14 17:22:10,I am deeply saddened by the tragic loss of life at Grenfell Tower. My thoughts are with all those affected and the emergency services.
872845687951699968,2017-06-08 16:00:03,Every vote counts. Please back your local Conservative candidate and together we can secure the best Brexit deal &amp;… https://t.co/06v2Nb527m
872788210212118528,2017-06-08 12:11:39,Your vote will help secure a stronger economy &amp; a brighter future for Britain. Make sure you head to the polling st… https://t.co/BMHZ2FlvcM
872756911246123008,2017-06-08 10:07:17,Cast my vote with Philip and going to catch up with our campaign locally. Every vote counts - so please… https://t.co/rOMelbpupY
872711752907186176,2017-06-08 07:07:50,"If you believe in Britain and that our best days lie ahead, give me your backing to lead Britain: https://t.co/UMLhONax0d"
872546538647683072,2017-06-07 20:11:20,Thank you to our incredible supporters for backing me every step of this campaign – tomorrow let’s secure that brig… https://t.co/oFWvLncbN1
872492741606944768,2017-06-07 16:37:34,Talking to staff at Dunelm in Nottingham about Brexit and the opportunities it can bring. I'll get a Brexit deal to… https://t.co/4HNRgp0ZaN
872464284944650240,2017-06-07 14:44:29,Back me and together we can make a success of Brexit and build a stronger Britain. Vote Conservative tomorrow. https://t.co/cvJnX5YJJZ
872410324862939136,2017-06-07 11:10:04,Great visit to Atherley Bowling club in Southampton on the last day of campaigning - every vote will count tomorrow… https://t.co/QAb1T9tv3p
872342945072021504,2017-06-07 06:42:20,"Early start to the day's campaigning, talking to traders at Smithfield Market. I'll keep our economy strong to help… https://t.co/dD6ivYBEMq"
